Intervalle : [0//1 , 3//1186]
Intervalle : [20//21 , 41//43]

Intervalle : [41//43 , 62//65]

Intervalle : [62//65 , 83//87]

Intervalle : [83//87 , 21//22]

Intervalle : [21//22 , 85//89]

Intervalle : [85//89 , 64//67]

Intervalle : [64//67 , 43//45]

Intervalle : [43//45 , 65//68]

Intervalle : [65//68 , 22//23]

Intervalle : [22//23 , 23//24]

Intervalle : [23//24 , 71//74]

Intervalle : [71//74 , 51//53]

Intervalle : [51//53 , 26//27]

Intervalle : [26//27 , 53//55]

Intervalle : [53//55 , 27//28]

Intervalle : [27//28 , 55//57]

Intervalle : [55//57 , 28//29]

Intervalle : [28//29 , 57//59]

Intervalle : [57//59 , 86//89]

Intervalle : [86//89 , 29//30]

Intervalle : [29//30 , 59//61]

Intervalle : [59//61 , 30//31]

Intervalle : [30//31 , 61//63]

Intervalle : [61//63 , 63//65]

Intervalle : [63//65 , 32//33]

Intervalle : [32//33 , 65//67]

Intervalle : [65//67 , 34//35]

Intervalle : [34//35 , 71//73]

Intervalle : [71//73 , 36//37]

Intervalle : [36//37 , 37//38]

Intervalle : [37//38 , 39//40]

Intervalle : [39//40 , 40//41]

Intervalle : [40//41 , 41//42]

Intervalle : [41//42 , 42//43]

Intervalle : [42//43 , 43//44]

Intervalle : [43//44 , 44//45]

Intervalle : [44//45 , 45//46]

Intervalle : [45//46 , 50//51]

Intervalle : [50//51 , 51//52]

Intervalle : [51//52 , 52//53]

Intervalle : [52//53 , 56//57]

Intervalle : [56//57 , 57//58]

Intervalle : [57//58 , 58//59]

Intervalle : [58//59 , 59//60]

Intervalle : [59//60 , 61//62]

Intervalle : [61//62 , 62//63]

Intervalle : [62//63 , 65//66]

Intervalle : [65//66 , 67//68]

Intervalle : [67//68 , 68//69]

Intervalle : [68//69 , 71//72]

Intervalle : [71//72 , 81//82]

Intervalle : [81//82 , 83//84]

Intervalle : [83//84 , 84//85]

Intervalle : [84//85 , 85//86]

Intervalle : [85//86 , 86//87]

Intervalle : [86//87 , 89//90]

Intervalle : [89//90 , 96//97]

Intervalle : [96//97 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]
Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 96//97]

Intervalle : [96//97 , 96//97]

Intervalle : [96//97 , 89//90]

Intervalle : [89//90 , 86//87]

Intervalle : [86//87 , 85//86]

Intervalle : [85//86 , 84//85]

Intervalle : [84//85 , 83//84]

Intervalle : [83//84 , 83//84]

Intervalle : [83//84 , 81//82]

Intervalle : [81//82 , 71//72]

Intervalle : [71//72 , 68//69]

Intervalle : [68//69 , 68//69]

Intervalle : [68//69 , 67//68]

Intervalle : [67//68 , 65//66]

Intervalle : [65//66 , 64//65]

Intervalle : [64//65 , 65//66]

Intervalle : [65//66 , 67//68]

Intervalle : [67//68 , 68//69]

Intervalle : [68//69 , 71//72]

Intervalle : [71//72 , 74//75]

Intervalle : [74//75 , 81//82]

Intervalle : [81//82 , 83//84]

Intervalle : [83//84 , 84//85]

Intervalle : [84//85 , 85//86]

Intervalle : [85//86 , 86//87]

Intervalle : [86//87 , 88//89]

Intervalle : [88//89 , 89//90]

Intervalle : [89//90 , 96//97]

Intervalle : [96//97 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 1//1]

Intervalle : [1//1 , 96//97]

Intervalle : [96//97 , 96//97]

Intervalle : [96//97 , 89//90]

Intervalle : [89//90 , 88//89]

Intervalle : [88//89 , 86//87]

Intervalle : [86//87 , 85//86]

Intervalle : [85//86 , 84//85]

Intervalle : [84//85 , 83//84]

Intervalle : [83//84 , 83//84]

Intervalle : [83//84 , 81//82]

Intervalle : [81//82 , 74//75]

Intervalle : [74//75 , 73//74]

Intervalle : [73//74 , 71//72]

Intervalle : [71//72 , 68//69]

Intervalle : [68//69 , 68//69]

Intervalle : [68//69 , 67//68]

Intervalle : [67//68 , 65//66]

Intervalle : [65//66 , 64//65]

Intervalle : [64//65 , 62//63]

Intervalle : [62//63 , 61//62]

Intervalle : [61//62 , 59//60]

Intervalle : [59//60 , 59//60]

Intervalle : [59//60 , 58//59]

Intervalle : [58//59 , 59//60]

Intervalle : [59//60 , 61//62]

Intervalle : [61//62 , 62//63]

Intervalle : [62//63 , 64//65]

Intervalle : [64//65 , 65//66]

Intervalle : [65//66 , 67//68]

Intervalle : [67//68 , 68//69]

Intervalle : [68//69 , 71//72]

Intervalle : [71//72 , 74//75]

Intervalle : [74//75 , 81//82]

Intervalle : [81//82 , 83//84]

Intervalle : [83//84 , 84//85]

Intervalle : [84//85 , 85//86]

Intervalle : [85//86 , 86//87]

Intervalle : [86//87 , 88//89]

Intervalle : [88//89 , 89//90]

Intervalle : [89//90 , 96//97]

Intervalle : [96//97 , 1//1]
